٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٦٠٣ [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$ba793da7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٦٥٩ [restartedMain] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٦٥٩ [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٩٠٥ [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8011 (http)
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٩١٣ [restartedMain] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٩١٣ [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.29]
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٩٧٨ [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥١.٩٧٨ [restartedMain] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1256 ms
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٢.٠٠٩ [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٢.٢٣٣ [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٢.٢٣٣ [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration.lambda$h2Console$0 - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/mandob_db'
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٢.٣٢٧ [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٢.٤٠٧ [restartedMain] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate Core {5.4.9.Final}
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٢.٤٩٤ [restartedMain] INFO  o.h.annotations.common.Version.<clinit> - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٢.٥٧٢ [restartedMain] INFO  org.hibernate.dialect.Dialect.<init> - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٣.٤١٧ [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٣.٤٢٢ [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٣.٤٣٣ [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٤.٢٤٠ [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٤.٣٧١ [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٤.٤٧٨ [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration.checkTemplateLocationExists - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٤.٥٧٢ [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8011 (http) with context path ''
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٥٤.٥٧٢ [restartedMain] INFO  com.mandob.MandobDemoApplication.logStarted - Started MandobDemoApplication in 4.309 seconds (JVM running for 5.222)
٢٣-٠١-٢٠٢٠ ٠٠:١٦:٥٨.٢٧٥ [http-nio-8011-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
٢٣-٠١-٢٠٢٠ ٠٠:١٦:٥٨.٢٧٧ [http-nio-8011-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
٢٣-٠١-٢٠٢٠ ٠٠:١٦:٥٨.٢٨٥ [http-nio-8011-exec-2] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 8 ms
٢٣-٠١-٢٠٢٠ ٠٦:٢٩:٥١.٠٦٧ [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool.run - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5h24m58s406ms543µs200ns).
